Name,Description
CHEMEX,"Awaken your senses with pour-over perfection. Chemex method crafts a smooth, aromatic cup, revealing exquisite flavors in every sip. A true sensory delight."
KALITA,Is a directly consumed micro-lot coffe softly brewed for a cleaner cup profile with slowly drip filter.
LONG BLACK,"
Crafted elegance. An espresso-based drink mirroring drip-filter brewed coffee. Savour the balanced richness and depth, a true coffee revelation."
ESPRESSO,"Intense coffee shot. Hot water through finely ground beans. Amplified flavors�bitter, sweet, acidic, toasty. Elevate your coffee experience."
ICE LONG BLACK,"
Crafted elegance. An espresso-based drink mirroring drip-filter brewed coffee with ice. Savour the balanced richness and depth, a true coffee revelation."
TURKISH COFFEE,"Finely ground coffee and water combined with sugar, brought to a foamy, near-boiling stage. Middle Eastern and European flavors unite in each sip."
GREEN TEA,"Embrace the East. Unoxidized leaves yield a vibrant brew. From steaming to hand-shaping, diverse processes create unique flavors and potential health benefits. Explore the world of green tea."
Ginger Lemon Tea,"Soothing harmony. Fresh ginger and lemon infused, gently sweetened with honey. Caffeine-free detox delight for all ages, offering soothing refreshment and healthful sips."
BLACK TEA,"Indulge in the bold allure of black tea. Its malty sip carries hints of natural sweetness and subtle undertones. With every cup, you embrace a tradition and carry a rich history of intricate flavors, leaving a warm and satisfying resonance long after the last sip."
COCO MATCHA ,"Elevate your matcha experience. Premium matcha blended with chilled coconut water for a creamy, refreshing tropical fusion, enhanced with a subtle honey undertone."
COCO COFFEE,Creamy espresso cream meets coconut water. Indulgent twist enhances your coffee experience with rich flavors and refreshing notes
AFFOGATO,"A freshly brewed shot of hot espresso is then poured over the vanilla ice cream, causing it to melt slightly and blend with the coffee."
DARK ESPRESSO BOOST,"Energize mind and body. Robust espresso meets Oramin C's nutrition, yielding a balanced, potent drink satisfying taste and vitality."
GreekFruit Salad,"The Greek Salad with Mixed Berries, Yogurt, and Granola, a variety of fresh mixed berries are used. "
DARK SPICY ,"Signature drink with a hint of cinnamon , chocolate powder and single shot of coffee."
EGG TOAST,"Egg Toast with Sourdough, Scrambled Egg, Mixed Salad, and Za'atar Labneh"
DARK SPICY MEDIUM,"Signature drink with a hint of cinnamon , chocolate powder and coffee."
DARK SPICY DOUBLE,"Signature drink with a hint of cinnamon , chocolate powder and double shot of coffee."
PASTEL DE NATA ,"A Portuguese egg custard tart pastry, optionally dusted with cinnamon."
Caprese Salad With Avo,"It's�packed with flavor, has ripe avocados,rosemerry, basil leaves,cherry tomatoes, rocket leaves,�and�an amazing homemade balsamic glaze."
CEASAR SALAD,"Is a salad of romain lettuce, ceasar dressing, cherry tomato,rocket leaves and parmesan cheese."
SAFRON MILK CAKE,"In this puddingy, crowd-pleasing dessert,�sponge cake�is a soaked in a saffron-infused�milk�mixture, then�topped with whipped cream�and safron."
COCONUT MOIST CAKE,"With three layers of moist, fluffy cake smothered in a rich, creamy frosting, airy, and moist coconut cake is loaded with the goodness of coconut flavor."
NITRO PASSION ,A fresh beverage that combines the bright and zesty flavors of passion fruit with the smooth and creamy texture of nitro-infused.
CHOCOLATE LOAF," Is a type of quick bread that combines with a triple chocolate flavors. It is moist, tender, mouthering flavor.�"
Almond Croissant,"French butter croisant filled with homemade almond paste, topped with roasted almond flakes and dusted with icing sugar."
Lemon Mint,"Made capturing all the natural sweetness and tangy citrus flavor, packed with vitamins C."
ORANGE JUICE,"Pure refreshment. Sip the vibrant zest of freshly squeezed oranges, bursting with natural flavors and a hint of sunshine."
Chocolate Brownie,"Indulge in bite-sized bliss. Three delectable brownie bites, each offering a burst of rich chocolate goodness in every nibble."
